canonical_work_id,edition_title,language,publication_date,publisher,edition_statement,format,isbn10,isbn13,doi,oclc,source_ids,confidence,source_urls,amazon_search_url,amazon_asin,amazon_marketplace,amazon_stars,amazon_review_count,amazon_observed_at,amazon_source_url,amazon_match_confidence
12,Chemical Bond,en,1992,Elsevier Science & Technology Books,,,,9780080926698,,,openlibrary:OL33464338M,0.7,https://openlibrary.org/books/OL33464338M,https://www.amazon.com/s?k=9780080926698,,,,,,,
21,Ultrafast Phenomena IX,en,2012,"Springer London, Limited",,,,9783642851780,,,openlibrary:OL34373325M,0.7,https://openlibrary.org/books/OL34373325M,https://www.amazon.com/s?k=9783642851780,,,,,,,
41,Voyage Through Time,en,2004,American University in Cairo Press,,,,9781617972461,,,openlibrary:OL34609015M,0.7,https://openlibrary.org/books/OL34609015M,https://www.amazon.com/s?k=9781617972461,,,,,,,
41,Voyage Through Time,en,2004,American University in Cairo Press,,,,9781617974939,,,openlibrary:OL34620273M,0.7,https://openlibrary.org/books/OL34620273M,https://www.amazon.com/s?k=9781617974939,,,,,,,
37,Voyage through time,en,2002,American University in Cairo Press,,,9774246772,9789774246777,,49555417,openlibrary:OL3601217M,0.7,https://openlibrary.org/books/OL3601217M,https://www.amazon.com/s?k=9789774246777,,,,,,,
41,Voyage Through Time,en,2004,American University in Cairo Press,,,,9781306504454,,,openlibrary:OL36721334M,0.7,https://openlibrary.org/books/OL36721334M,https://www.amazon.com/s?k=9781306504454,,,,,,,
37,Voyage through time,en,2002,World Scientific Publishing,,,9812383409,9789812383402,,52755915,openlibrary:OL9196375M|openlibrary:OL3707845M,1.0,https://openlibrary.org/books/OL3707845M|https://openlibrary.org/books/OL9196375M,https://www.amazon.com/s?k=9789812383402,,,,,,,
15,Femtochemistry,en,2001,Wiley-VCH,,,352730259X,9783527302598,,46909943,openlibrary:OL3969189M,0.7,https://openlibrary.org/books/OL3969189M,https://www.amazon.com/s?k=9783527302598,,,,,,,
5020,Atomic interaction in penetration phenomena.,,1948-01-01,I Kommission hos Munksgaard,,,,,,,openlibrary:OL43008736M,0.7,https://openlibrary.org/books/OL43008736M,https://www.amazon.com/s?k=Atomic+interaction+in+penetration+phenomena.,,,,,,,
18,"Advances in laser spectroscopy I, August 23-24, 1977, San Diego, California",en,1977,SPIE,,,0892521406,9780892521401,,4003476,openlibrary:OL4754724M,0.7,https://openlibrary.org/books/OL4754724M,https://www.amazon.com/s?k=9780892521401,,,,,,,
17,4d Visualization of Matter,en,2014,Imperial College Press,,,,9781783265046,,,openlibrary:OL48162342M,0.7,https://openlibrary.org/books/OL48162342M,https://www.amazon.com/s?k=9781783265046,,,,,,,
41,Voyage Through Time,en,2003,World Scientific Publishing Co Pte Ltd,,,,9789812564474,,,openlibrary:OL49242554M,0.7,https://openlibrary.org/books/OL49242554M,https://www.amazon.com/s?k=9789812564474,,,,,,,
15,Femtochemistry,en,1994,World Scientific Publishing Co Pte Ltd,,,,9781299742314,,,openlibrary:OL49249197M,0.7,https://openlibrary.org/books/OL49249197M,https://www.amazon.com/s?k=9781299742314,,,,,,,
15,Femtochemistry,en,1994,World Scientific Publishing Co Pte Ltd,,,,9781299633490,,,openlibrary:OL49251224M,0.7,https://openlibrary.org/books/OL49251224M,https://www.amazon.com/s?k=9781299633490,,,,,,,
41,Voyage Through Time,en,2002,World Scientific Publishing Co Pte Ltd,,,,9781281876867,,,openlibrary:OL49253093M,0.7,https://openlibrary.org/books/OL49253093M,https://www.amazon.com/s?k=9781281876867,,,,,,,
23,Femtochemistry Vol. 2,en,1994,World Scientific Publishing Co Pte Ltd,,,,9789814287616,,,openlibrary:OL49253575M,0.7,https://openlibrary.org/books/OL49253575M,https://www.amazon.com/s?k=9789814287616,,,,,,,
